Date,Asset,Open,High,Low,Close,Volume,Lookback,Sector,SectorMarketVolume
2024-01-01,ES,164.24726716356548,166.30245684582576,161.63868480991445,162.7739810425084,178920,20,Index,180797.2069705167
2024-01-02,ES,163.5960775991163,166.63375622037728,160.87237368173155,163.29319107063628,50948,20,Index,55820.42258181012
2024-01-03,ES,163.16239215220304,165.66841577862203,160.28067356909023,164.6541603700239,195219,20,Index,210939.05260835483
2024-01-04,ES,164.5667552754901,166.1514842726831,161.9284784170655,163.05471512492014,146944,20,Index,148491.46166860522
2024-01-05,ES,163.21448135682232,166.31738981916854,161.51393556945249,164.5042835800345,183905,20,Index,194847.63481979058
2024-01-06,ES,163.3516703744598,164.4606403021872,160.84583807514127,161.54679544021994,155219,20,Index,151891.7709604355
2024-01-07,ES,162.16999695570482,164.01487878827683,159.48328530597337,161.71764540435237,129950,20,Index,117011.55698562264
2024-01-08,ES,161.67587176873434,164.0455996504018,159.85180406088298,161.5041745307182,108752,20,Index,115261.48830205748
2024-01-09,ES,161.83529331204215,162.66483225354966,160.624589332797,161.12057672854402,169029,20,Index,171954.7751562478
2024-01-10,ES,160.60570559388822,163.66817126335454,157.71665239043247,160.39244827922434,57270,20,Index,58680.22816358224
2024-01-11,ES,160.07957688684724,163.1107404371128,157.17851800971067,157.56654212907387,187024,20,Index,199975.4491787695
2024-01-12,ES,158.06916806487484,160.92438942697052,156.0703165701534,160.76703211424726,117372,20,Index,126450.21578859125
2024-01-13,ES,162.0465840642073,165.27948772417707,160.4332035143571,164.3411001540143,195063,20,Index,192311.74714935484
2024-01-14,ES,164.69665102336697,166.3749300783849,161.87217658263484,163.01350546538595,154131,20,Index,146745.53268392768
2024-01-15,ES,162.1427714648403,164.96428248272298,159.55719846470652,160.04728460982594,117111,20,Index,120790.62679322514
2024-01-16,ES,159.119718860744,160.25205964647992,156.88642055005377,157.62531443140784,111278,20,Index,100870.0131542058
2024-01-17,ES,157.93665209826702,160.98561479801836,155.38414970366847,159.6393993736806,142382,20,Index,155434.98979590752
2024-01-18,ES,158.11188655324366,159.77408312585877,155.61068985045875,159.3796279740405,141351,20,Index,138312.4543421696
2024-01-19,ES,159.87964690713122,162.1099222934157,156.98632468679395,159.30836682262287,192457,20,Index,195128.00861992186
2024-01-20,ES,158.53780615048495,161.53250948438568,157.00357815330943,158.94133005857478,177744,20,Index,173855.2215870255
2024-01-21,ES,158.63403775730663,161.55965741006912,156.43418096841205,159.79832732794932,182179,20,Index,171373.09815820103
2024-01-22,ES,160.57462585614644,162.9676420388803,157.52596193070704,157.93950874733682,165982,20,Index,167513.79643240495
2024-01-23,ES,159.49653650590886,160.86286388015512,156.729281424081,158.11259849980686,162925,20,Index,155403.12137571443
2024-01-24,ES,158.39649915325006,160.4362484018814,155.97791072159373,156.27996496736102,63656,20,Index,62188.44861160157
2024-01-25,ES,156.86060860469308,159.81893775185503,155.06575352788175,155.85495044858496,194380,20,Index,176036.52672489098
2024-01-26,ES,156.55861630684814,158.39468455321412,154.66639316319004,157.6425057350447,145482,20,Index,149507.69979439516
2024-01-27,ES,156.3930215729444,157.8269790947939,153.82182569807512,154.96444012694855,86710,20,Index,93025.8400431933
2024-01-28,ES,155.3758166034001,156.4799683629151,154.22714569052445,155.65639414463632,124129,20,Index,123490.63025265362
2024-01-29,ES,155.3125682046697,156.81179521812234,153.07048563957102,155.00014771184587,55491,20,Index,52688.25247253413
2024-01-30,ES,156.0730293581772,158.51295543344276,154.81161786074017,157.4838318961927,137356,20,Index,136330.26031016986
2024-01-31,ES,157.6692033934067,158.6632664673832,154.53988538988932,155.45339346269242,123036,20,Index,114022.58628838375
